Global absolute abundance estimations for all proteins identified in dataset 2 (see supplemental Figure 4 for dataset details)																																																																							
						Protein copies/cell																						Protein Mass (fg) / Cell																						Coefficient of Variance (%) Between Biological Triplicates																					
P0AA91	Uncharacterized lipoprotein yeaY OS=Escherichia coli (strain K12) GN=yeaY PE=4 SV=1	yeaY	4	201.64	20889.78297	73	108	54	51	71	77	60	92	45	45	99	191	243	245	112	102	205	60	72	162	61	77	2.55E-03	3.75E-03	1.89E-03	1.76E-03	2.47E-03	2.66E-03	2.07E-03	3.19E-03	1.56E-03	1.57E-03	3.43E-03	6.62E-03	8.43E-03	8.50E-03	3.88E-03	3.54E-03	7.10E-03	2.07E-03	2.48E-03	5.61E-03	2.12E-03	2.67E-03	7.53	8.35	10.49	17.50	16.52	9.89	6.15	3.85	9.13	17.51	3.81	14.05	13.03	4.78	22.80	28.11	11.88	5.86	3.31	13.09	28.82	21.22
P32662	Phosphoglycolate phosphatase OS=Escherichia coli (strain K12) GN=gph PE=1 SV=1	gph	4	299.9	27353.99481	738	882	879	414	569	521	578	518	469	368	315	240	160	184	737	787	711	571	468	307	435	460	3.35E-02	4.00E-02	3.99E-02	1.88E-02	2.58E-02	2.37E-02	2.63E-02	2.35E-02	2.13E-02	1.67E-02	1.43E-02	1.09E-02	7.25E-03	8.34E-03	3.35E-02	3.57E-02	3.23E-02	2.59E-02	2.13E-02	1.39E-02	1.98E-02	2.09E-02	7.57	2.44	9.26	13.63	12.90	12.94	2.38	7.19	11.41	5.88	15.19	4.47	26.11	13.98	19.17	29.51	4.41	2.22	8.33	5.64	5.63	3.05
P0A8K5	UPF0253 protein yaeP OS=Escherichia coli (strain K12) GN=yaeP PE=1 SV=1	yaeP	4	263.94	7191.57041	1499	2418	1854	1312	1298	1716	1575	1369	1889	1988	1847	1748	973	654	2268	2879	2809	1567	1081	1678	847	1249	1.79E-02	2.89E-02	2.21E-02	1.57E-02	1.55E-02	2.05E-02	1.88E-02	1.64E-02	2.26E-02	2.37E-02	2.21E-02	2.09E-02	1.16E-02	7.81E-03	2.71E-02	3.44E-02	3.35E-02	1.87E-02	1.29E-02	2.00E-02	1.01E-02	1.49E-02	5.13	5.34	9.06	17.70	18.49	19.09	7.41	7.43	5.33	5.17	16.67	5.17	9.49	22.11	14.93	6.13	11.97	4.22	5.80	22.92	5.22	15.23
P0AC84	Hydroxyacylglutathione hydrolase OS=Escherichia coli (strain K12) GN=gloB PE=1 SV=1	gloB	4	253.41	28398.34858	282	278	246	359	276	245	275	237	246	331	301	327	130	158	250	127	219	206	389	245	287	207	1.33E-02	1.31E-02	1.16E-02	1.69E-02	1.30E-02	1.16E-02	1.30E-02	1.12E-02	1.16E-02	1.56E-02	1.42E-02	1.54E-02	6.13E-03	7.45E-03	1.18E-02	6.00E-03	1.03E-02	9.72E-03	1.83E-02	1.16E-02	1.35E-02	9.75E-03	32.12	13.81	1.62	9.05	11.57	22.24	7.31	28.03	9.75	6.05	18.21	1.07	6.51	25.49	10.81	39.47	8.25	2.94	3.29	8.73	16.96	9.53
P0AAN5	Uncharacterized protein yaiA OS=Escherichia coli (strain K12) GN=yaiA PE=1 SV=1	yaiA	4	166.34	7258.62835	353	252	292	287	435	580	487	288	263	318	349	382	813	604	1166	343	934	330	568	813	441	319	4.26E-03	3.04E-03	3.52E-03	3.46E-03	5.24E-03	7.00E-03	5.87E-03	3.47E-03	3.17E-03	3.83E-03	4.20E-03	4.61E-03	9.80E-03	7.28E-03	1.40E-02	4.13E-03	1.13E-02	3.97E-03	6.85E-03	9.80E-03	5.32E-03	3.84E-03	32.89	3.80	3.26	1.97	5.14	1.88	9.23	18.15	32.80	10.95	6.80	7.32	11.93	45.56	1.78	34.95	10.58	12.33	7.75	11.97	20.01	5.82
P0AGF2	Uncharacterized sufE-like protein ygdK OS=Escherichia coli (strain K12) GN=ygdK PE=1 SV=1	csdE	4	181.99	15912.30672	196	222	186	129	129	201	173	136	139	100	103	95	214	271	553	389	367	242	150	152	149	191	5.17E-03	5.86E-03	4.92E-03	3.40E-03	3.42E-03	5.30E-03	4.56E-03	3.60E-03	3.67E-03	2.63E-03	2.73E-03	2.50E-03	5.67E-03	7.17E-03	1.46E-02	1.03E-02	9.70E-03	6.38E-03	3.97E-03	4.02E-03	3.94E-03	5.06E-03	11.63	18.32	10.66	13.32	8.88	11.96	4.42	17.99	6.47	14.83	1.87	11.53	56.69	1.04	13.93	11.82	11.62	22.24	5.40	14.49	10.44	4.63
P07762	1,4-alpha-glucan-branching enzyme OS=Escherichia coli (strain K12) GN=glgB PE=1 SV=1	glgB	4	177	84265.77174	76	105	82	66	74	74	78	82	71	60	63	60	38	51	55	126	113	93	82	70	75	87	1.06E-02	1.48E-02	1.15E-02	9.30E-03	1.04E-02	1.03E-02	1.09E-02	1.15E-02	1.00E-02	8.46E-03	8.79E-03	8.34E-03	5.35E-03	7.12E-03	7.73E-03	1.76E-02	1.58E-02	1.30E-02	1.14E-02	9.77E-03	1.05E-02	1.22E-02	11.27	1.53	4.22	14.63	4.53	14.37	6.09	5.77	6.54	5.67	11.41	11.12	30.75	12.19	31.29	1.36	6.81	15.28	10.09	5.94	8.24	6.74
P0ABU9	Protein tolQ OS=Escherichia coli (strain K12) GN=tolQ PE=1 SV=1	tolQ	4	242.35	25563.37328	268	378	310	149	199	200	241	212	278	220	180	162	205	155	245	389	272	202	190	137	165	230	1.14E-02	1.61E-02	1.31E-02	6.31E-03	8.45E-03	8.51E-03	1.02E-02	8.98E-03	1.18E-02	9.33E-03	7.63E-03	6.86E-03	8.70E-03	6.57E-03	1.04E-02	1.65E-02	1.15E-02	8.59E-03	8.06E-03	5.83E-03	7.00E-03	9.77E-03	30.26	3.78	27.24	17.55	9.62	7.19	2.23	5.56	11.01	5.01	6.59	7.49	24.31	19.62	11.04	3.51	13.26	1.92	12.21	11.34	10.25	22.23
P63228	D,D-heptose 1,7-bisphosphate phosphatase OS=Escherichia coli (strain K12) GN=gmhB PE=1 SV=1	gmhB	4	148.27	21262.52226	316	297	291	273	226	291	278	250	281	248	212	171	164	178	533	270	468	357	222	247	219	318	1.12E-02	1.05E-02	1.03E-02	9.64E-03	7.99E-03	1.03E-02	9.83E-03	8.82E-03	9.92E-03	8.74E-03	7.47E-03	6.05E-03	5.79E-03	6.28E-03	1.88E-02	9.52E-03	1.65E-02	1.26E-02	7.82E-03	8.73E-03	7.72E-03	1.12E-02	23.04	10.03	7.23	11.61	22.59	20.69	17.27	18.47	5.97	3.16	9.45	13.63	3.09	15.99	3.99	30.13	6.23	18.34	7.44	2.34	3.34	11.30
P0AEM0	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain K12) GN=fkpB PE=1 SV=2	fkpB	4	360.26	16052.92141	1255	2785	2678	1531	1527	1411	1354	1175	1022	928	859	560	229	234	1162	1198	953	1096	1932	1241	1215	1749	3.35E-02	7.42E-02	7.14E-02	4.08E-02	4.07E-02	3.76E-02	3.61E-02	3.13E-02	2.72E-02	2.47E-02	2.29E-02	1.49E-02	6.11E-03	6.23E-03	3.10E-02	3.19E-02	2.54E-02	2.92E-02	5.15E-02	3.31E-02	3.24E-02	4.66E-02	23.69	22.92	14.52	11.01	2.60	5.48	19.63	9.74	12.17	15.04	13.15	4.27	38.10	4.11	11.70	41.10	19.20	4.31	20.74	14.36	30.25	9.53
P08179	Phosphoribosylglycinamide formyltransferase OS=Escherichia coli (strain K12) GN=purN PE=1 SV=1	purN	4	262.84	23205.81467	459	542	484	236	290	381	290	349	229	203	157	135	196	160	559	425	477	357	263	244	271	374	1.77E-02	2.09E-02	1.86E-02	9.11E-03	1.12E-02	1.47E-02	1.12E-02	1.35E-02	8.82E-03	7.81E-03	6.05E-03	5.18E-03	7.55E-03	6.16E-03	2.15E-02	1.64E-02	1.84E-02	1.38E-02	1.01E-02	9.39E-03	1.05E-02	1.44E-02	11.21	12.81	13.91	4.63	4.02	5.73	1.05	13.59	8.08	6.66	9.31	4.97	17.10	7.13	6.26	28.96	6.31	25.78	12.39	7.18	11.36	1.97
P75915	Uncharacterized protein ycdY OS=Escherichia coli (strain K12) GN=ycdY PE=3 SV=1	ycdY	4	340.76	20693.05671	678	538	550	305	401	367	524	406	338	264	180	135	144	176	499	537	444	413	439	220	424	474	2.33E-02	1.85E-02	1.89E-02	1.05E-02	1.38E-02	1.26E-02	1.80E-02	1.40E-02	1.16E-02	9.07E-03	6.17E-03	4.64E-03	4.96E-03	6.03E-03	1.71E-02	1.85E-02	1.53E-02	1.42E-02	1.51E-02	7.55E-03	1.46E-02	1.63E-02	15.31	2.34	21.30	6.70	7.31	4.07	5.12	10.10	9.47	3.99	15.03	5.53	20.65	19.97	21.92	53.13	2.57	14.54	11.41	48.96	13.40	6.99
P23894	Protease HtpX OS=Escherichia coli (strain K12) GN=htpX PE=1 SV=1	htpX	4	184.81	31884.55363	451	539	579	255	411	460	395	463	422	333	229	215	96	107	151	583	334	294	343	196	304	414	2.39E-02	2.85E-02	3.06E-02	1.35E-02	2.17E-02	2.43E-02	2.09E-02	2.45E-02	2.23E-02	1.76E-02	1.21E-02	1.14E-02	5.08E-03	5.67E-03	8.00E-03	3.09E-02	1.77E-02	1.56E-02	1.82E-02	1.04E-02	1.61E-02	2.19E-02	4.70	10.89	4.81	2.46	15.31	9.49	7.56	16.44	12.30	6.18	9.08	6.59	11.57	30.41	21.78	29.05	37.85	14.88	29.19	14.24	9.51	24.08
P0A8W0	Transcriptional regulator nanR OS=Escherichia coli (strain K12) GN=nanR PE=3 SV=1	nanR	4	251.29	29488.0806	117	202	112	78	94	140	92	102	75	54	58	46	86	110	170	290	134	122	129	95	110	119	5.71E-03	9.88E-03	5.47E-03	3.84E-03	4.62E-03	6.85E-03	4.53E-03	4.98E-03	3.65E-03	2.62E-03	2.82E-03	2.23E-03	4.22E-03	5.37E-03	8.33E-03	1.42E-02	6.56E-03	5.97E-03	6.32E-03	4.63E-03	5.39E-03	5.83E-03	10.54	13.76	61.23	37.48	10.21	41.54	1.77	7.89	10.14	23.73	9.35	15.58	17.61	31.40	10.60	85.49	13.25	17.58	20.11	9.75	18.16	14.83
P0A884	Thymidylate synthase OS=Escherichia coli (strain K12) GN=thyA PE=1 SV=1	thyA	4	170.18	30442.15787	383	728	680	206	299	335	354	276	293	180	178	106	131	105	291	191	250	357	284	165	348	436	1.93E-02	3.68E-02	3.44E-02	1.04E-02	1.51E-02	1.69E-02	1.79E-02	1.40E-02	1.48E-02	9.09E-03	9.01E-03	5.38E-03	6.61E-03	5.28E-03	1.47E-02	9.65E-03	1.26E-02	1.80E-02	1.44E-02	8.36E-03	1.76E-02	2.20E-02	7.16	4.23	4.06	16.67	8.54	4.16	19.43	24.91	8.68	10.13	11.73	11.43	14.59	8.05	14.51	36.50	6.92	10.75	3.22	9.33	10.01	2.72
P77202	Thiol:disulfide interchange protein DsbG OS=Escherichia coli (strain K12) GN=dsbG PE=1 SV=2	dsbG	4	158.36	27459.24651	130	203	183	63	100	114	122	87	79	70	49	48	136	112	166	120	169	124	120	89	116	151	5.94E-03	9.25E-03	8.36E-03	2.89E-03	4.57E-03	5.21E-03	5.55E-03	3.95E-03	3.58E-03	3.18E-03	2.25E-03	2.18E-03	6.21E-03	5.11E-03	7.58E-03	5.49E-03	7.71E-03	5.67E-03	5.47E-03	4.06E-03	5.29E-03	6.90E-03	3.83	2.00	16.15	11.17	7.70	7.25	13.01	4.51	8.93	10.28	4.26	11.62	3.73	8.25	7.47	10.16	1.07	4.92	17.29	6.62	4.04	10.13
P36929	Ribosomal RNA small subunit methyltransferase B OS=Escherichia coli (strain K12) GN=rsmB PE=1 SV=2	rsmB	4	353.13	48299.01648	58	203	128	36	47	49	50	39	65	45	40	44	51	63	55	48	61	55	20	21	22	35	4.69E-03	1.63E-02	1.03E-02	2.86E-03	3.79E-03	3.96E-03	4.00E-03	3.14E-03	5.19E-03	3.61E-03	3.17E-03	3.51E-03	4.10E-03	5.07E-03	4.40E-03	3.88E-03	4.90E-03	4.38E-03	1.64E-03	1.71E-03	1.73E-03	2.83E-03	4.57	9.03	11.85	8.07	9.75	24.04	14.52	20.46	4.75	14.53	11.95	11.20	32.67	22.58	11.49	21.59	27.34	7.65	15.31	15.09	21.30	7.67
P0AGE4	Serine/threonine transporter sstT OS=Escherichia coli (strain K12) GN=sstT PE=1 SV=1	sstT	4	172.36	43431.39854	58	120	134	126	94	140	93	89	382	282	281	289	54	68	111	76	142	177	70	104	144	173	4.16E-03	8.67E-03	9.68E-03	9.10E-03	6.81E-03	1.01E-02	6.74E-03	6.42E-03	2.75E-02	2.04E-02	2.03E-02	2.08E-02	3.91E-03	4.92E-03	8.02E-03	5.52E-03	1.03E-02	1.28E-02	5.08E-03	7.50E-03	1.04E-02	1.25E-02	11.85	15.79	13.30	34.81	24.23	35.89	9.19	38.19	9.02	12.56	28.45	9.07	16.39	25.95	49.54	50.89	17.95	5.20	14.56	6.79	10.17	2.79
P39315	Quinone oxidoreductase 2 OS=Escherichia coli (strain K12) GN=qorB PE=1 SV=1	qorB	4	250.81	29697.29065	269	131	260	171	176	224	234	192	220	170	171	165	84	92	233	217	494	173	246	200	238	286	1.32E-02	6.45E-03	1.28E-02	8.42E-03	8.66E-03	1.10E-02	1.15E-02	9.45E-03	1.09E-02	8.38E-03	8.42E-03	8.13E-03	4.12E-03	4.54E-03	1.15E-02	1.07E-02	2.44E-02	8.51E-03	1.21E-02	9.86E-03	1.18E-02	1.41E-02	45.67	37.77	37.01	2.98	18.04	35.09	21.57	33.98	16.69	3.48	8.27	3.02	14.79	15.80	35.22	51.26	57.37	28.56	13.00	6.43	17.38	33.48
P0A9I3	Glycine cleavage system transcriptional repressor OS=Escherichia coli (strain K12) GN=gcvR PE=1 SV=2	gcvR	4	190.11	20737.48421	324	214	175	239	220	384	323	384	287	206	213	227	171	130	360	260	535	350	262	237	241	388	1.12E-02	7.37E-03	6.03E-03	8.23E-03	7.58E-03	1.32E-02	1.11E-02	1.32E-02	9.90E-03	7.11E-03	7.34E-03	7.82E-03	5.88E-03	4.48E-03	1.24E-02	8.94E-03	1.84E-02	1.20E-02	9.03E-03	8.17E-03	8.29E-03	1.34E-02	14.64	7.11	5.01	11.27	9.63	25.22	16.95	1.32	6.21	24.11	18.34	22.89	25.34	13.42	22.46	19.68	4.83	6.32	7.98	17.17	8.26	10.82
P0A9E5	Fumarate and nitrate reduction regulatory protein OS=Escherichia coli (strain K12) GN=fnr PE=1 SV=1	fnr	4	297.69	27931.33827	609	1101	849	325	447	605	628	399	496	373	314	198	98	96	315	382	386	613	553	384	764	689	2.82E-02	5.11E-02	3.94E-02	1.51E-02	2.07E-02	2.81E-02	2.91E-02	1.85E-02	2.30E-02	1.73E-02	1.46E-02	9.19E-03	4.55E-03	4.44E-03	1.46E-02	1.77E-02	1.79E-02	2.84E-02	2.56E-02	1.78E-02	3.54E-02	3.20E-02	24.75	10.26	4.19	13.71	10.12	12.54	16.79	13.17	7.78	3.37	8.27	8.56	66.83	27.64	24.99	47.04	2.83	4.93	7.97	4.63	4.71	2.83
P40191	Pyridoxine kinase OS=Escherichia coli (strain K12) GN=pdxK PE=1 SV=2	pdxK	4	236.41	30810.14428	52	222	228	148	94	152	145	121	235	183	143	101	77	83	272	88	199	172	80	83	85	80	2.64E-03	1.14E-02	1.17E-02	7.56E-03	4.81E-03	7.77E-03	7.40E-03	6.18E-03	1.20E-02	9.35E-03	7.30E-03	5.19E-03	3.96E-03	4.25E-03	1.39E-02	4.52E-03	1.02E-02	8.80E-03	4.08E-03	4.24E-03	4.33E-03	4.12E-03	10.97	13.11	7.06	55.67	20.04	41.64	24.17	13.99	10.51	6.54	20.79	7.63	19.52	20.79	11.97	77.38	7.70	26.48	3.37	6.91	23.50	2.85
P31433	Uncharacterized protein yicH OS=Escherichia coli (strain K12) GN=yicH PE=4 SV=2	yicH	4	266.43	62216.07131	70	129	63	61	59	76	75	90	77	77	90	78	33	41	68	137	81	72	83	57	60	86	7.20E-03	1.34E-02	6.53E-03	6.35E-03	6.11E-03	7.86E-03	7.71E-03	9.35E-03	7.90E-03	7.99E-03	9.31E-03	8.06E-03	3.36E-03	4.20E-03	7.02E-03	1.42E-02	8.34E-03	7.45E-03	8.55E-03	5.87E-03	6.24E-03	8.88E-03	13.95	3.60	17.61	15.89	3.60	9.82	16.29	28.08	14.93	7.81	9.25	8.47	20.23	8.99	28.49	21.61	14.20	10.41	8.71	16.04	11.02	8.40
P76243	Uncharacterized protein yeaO OS=Escherichia coli (strain K12) GN=yeaO PE=1 SV=2	yeaO	4	266.18	13359.93617	221	198	187	327	231	292	155	206	261	226	249	149	239	186	308	260	318	259	208	176	111	141	4.89E-03	4.39E-03	4.15E-03	7.26E-03	5.13E-03	6.49E-03	3.44E-03	4.57E-03	5.79E-03	5.02E-03	5.53E-03	3.31E-03	5.29E-03	4.12E-03	6.83E-03	5.76E-03	7.06E-03	5.74E-03	4.62E-03	3.89E-03	2.47E-03	3.12E-03	33.05	9.32	9.89	8.58	13.71	2.11	28.81	37.87	20.94	13.88	3.21	33.86	16.78	23.37	19.01	27.67	42.29	15.57	9.37	16.02	28.37	19.25
P62623	4-hydroxy-3-methylbut-2-enyl diphosphate reductase OS=Escherichia coli (strain K12) GN=ispH PE=1 SV=1	ispH	4	238.28	34734.93615	224	430	403	119	156	135	207	180	143	123	85	62	11	68	104	150	140	153	144	92	135	190	1.29E-02	2.48E-02	2.32E-02	6.86E-03	9.02E-03	7.76E-03	1.19E-02	1.04E-02	8.27E-03	7.11E-03	4.88E-03	3.55E-03	6.50E-04	3.90E-03	6.00E-03	8.63E-03	8.08E-03	8.85E-03	8.29E-03	5.32E-03	7.76E-03	1.09E-02	11.89	6.27	2.40	5.35	5.25	3.01	9.07	15.79	1.32	10.71	8.79	13.05	47.00	52.52	3.99	21.19	6.81	42.76	7.16	21.42	4.24	8.28
P0ADE4	Uncharacterized protein ytfM OS=Escherichia coli (strain K12) GN=ytfM PE=1 SV=1	tamA	4	189.9	64738.07628	36	60	44	25	24	36	29	24	23	20	20	16	32	35	65	37	41	35	24	29	22	27	3.88E-03	6.45E-03	4.76E-03	2.64E-03	2.55E-03	3.92E-03	3.10E-03	2.54E-03	2.45E-03	2.20E-03	2.20E-03	1.75E-03	3.41E-03	3.79E-03	6.97E-03	3.99E-03	4.43E-03	3.75E-03	2.57E-03	3.13E-03	2.41E-03	2.92E-03	5.19	6.85	15.08	8.55	7.32	6.23	8.04	4.91	11.88	7.36	6.91	13.03	17.45	4.68	16.53	13.35	11.38	19.16	6.71	3.95	8.72	18.10
Q47690	Homocysteine S-methyltransferase OS=Escherichia coli (strain K12) GN=mmuM PE=1 SV=2	mmuM	4	161.71	33383.85831	151	45	30	87	77	84	89	83	68	60	67	76	61	68	144	198	138	92	93	98	62	107	8.38E-03	2.51E-03	1.64E-03	4.82E-03	4.29E-03	4.66E-03	4.95E-03	4.61E-03	3.79E-03	3.31E-03	3.73E-03	4.21E-03	3.35E-03	3.78E-03	8.01E-03	1.10E-02	7.64E-03	5.11E-03	5.14E-03	5.45E-03	3.44E-03	5.93E-03	9.53	7.16	26.76	6.15	5.91	9.85	4.76	13.72	5.34	9.12	7.50	5.49	19.07	8.37	14.91	13.13	8.10	0.95	10.32	16.51	3.98	7.67
P77376	Uncharacterized oxidoreductase ydgJ OS=Escherichia coli (strain K12) GN=ydgJ PE=1 SV=2	ydgJ	4	186.86	38215.63903	53	43	26	81	110	89	94	109	55	55	49	87	13	59	74	35	111	96	90	147	132	121	3.34E-03	2.74E-03	1.67E-03	5.14E-03	6.95E-03	5.62E-03	5.98E-03	6.94E-03	3.51E-03	3.50E-03	3.14E-03	5.53E-03	7.98E-04	3.73E-03	4.71E-03	2.25E-03	7.06E-03	6.11E-03	5.70E-03	9.30E-03	8.37E-03	7.70E-03	24.34	36.25	75.34	7.20	2.70	8.51	14.74	5.04	8.66	12.78	15.14	13.35	101.20	5.85	26.14	25.91	11.78	23.74	5.98	14.04	21.14	5.35
P76329	Putative mannosyl-3-phosphoglycerate phosphatase OS=Escherichia coli (strain K12) GN=yedP PE=1 SV=1	yedP	4	432.05	30402.39167	39	42	17	74	68	96	58	45	46	59	107	156	77	72	66	35	107	41	85	140	57	38	1.99E-03	2.12E-03	8.35E-04	3.75E-03	3.45E-03	4.82E-03	2.91E-03	2.25E-03	2.32E-03	2.96E-03	5.41E-03	7.86E-03	3.90E-03	3.65E-03	3.34E-03	1.75E-03	5.38E-03	2.07E-03	4.29E-03	7.06E-03	2.90E-03	1.92E-03	64.25	5.11	30.16	9.35	13.58	17.67	26.44	21.63	28.31	25.54	14.86	9.42	28.75	32.96	35.05	52.86	16.26	18.41	10.63	23.74	28.81	7.41
P0AAS7	Uncharacterized protein ybcJ OS=Escherichia coli (strain K12) GN=ybcJ PE=1 SV=1	ybcJ	4	176.96	7366.85319	408	307	513	238	388	274	433	348	403	288	242	211	294	280	773	348	710	617	263	305	389	510	4.99E-03	3.75E-03	6.28E-03	2.91E-03	4.75E-03	3.35E-03	5.29E-03	4.26E-03	4.93E-03	3.53E-03	2.97E-03	2.58E-03	3.60E-03	3.42E-03	9.46E-03	4.26E-03	8.69E-03	7.55E-03	3.22E-03	3.73E-03	4.76E-03	6.24E-03	1.96	3.12	18.14	7.07	7.96	23.86	10.76	5.82	0.66	2.39	10.94	4.64	38.12	1.95	12.23	25.12	21.07	4.67	7.75	14.66	17.06	11.05
P66817	DnaA initiator-associating protein diaA OS=Escherichia coli (strain K12) GN=diaA PE=1 SV=1	diaA	4	277.33	21074.66913	293	285	325	193	231	247	219	227	198	139	128	100	71	96	240	264	212	213	166	142	132	213	1.02E-02	9.99E-03	1.14E-02	6.75E-03	8.08E-03	8.64E-03	7.66E-03	7.96E-03	6.92E-03	4.87E-03	4.49E-03	3.49E-03	2.47E-03	3.35E-03	8.41E-03	9.25E-03	7.44E-03	7.44E-03	5.81E-03	4.97E-03	4.60E-03	7.44E-03	14.56	8.95	14.64	3.04	7.70	20.00	13.33	12.43	18.42	15.04	17.23	12.94	22.81	7.92	16.01	1.33	4.26	15.18	15.35	5.87	4.52	11.88
P18196	Septum site-determining protein minC OS=Escherichia coli (strain K12) GN=minC PE=1 SV=1	minC	4	167.93	24741.87589	171	163	179	130	104	131	116	118	101	78	70	54	86	79	192	190	188	143	101	78	95	145	7.02E-03	6.68E-03	7.34E-03	5.34E-03	4.27E-03	5.37E-03	4.78E-03	4.83E-03	4.15E-03	3.21E-03	2.86E-03	2.21E-03	3.54E-03	3.26E-03	7.90E-03	7.82E-03	7.71E-03	5.87E-03	4.16E-03	3.19E-03	3.90E-03	5.95E-03	12.30	12.53	20.30	15.83	2.60	12.99	9.11	10.62	4.68	17.49	11.87	13.82	1.83	11.34	11.06	9.64	2.79	6.95	13.04	13.06	6.26	17.01
P52007	Protein yecM OS=Escherichia coli (strain K12) GN=yecM PE=1 SV=3	yecM	4	257.8	21173.77695	281	352	226	162	158	180	233	243	145	135	129	113	68	91	301	175	203	243	192	151	185	202	9.88E-03	1.24E-02	7.94E-03	5.69E-03	5.56E-03	6.34E-03	8.18E-03	8.53E-03	5.10E-03	4.76E-03	4.55E-03	3.98E-03	2.40E-03	3.19E-03	1.06E-02	6.17E-03	7.12E-03	8.53E-03	6.76E-03	5.31E-03	6.52E-03	7.10E-03	20.82	1.36	6.60	3.98	14.88	4.67	4.93	14.03	4.48	3.45	19.68	3.70	25.50	14.41	11.88	33.76	20.19	6.39	9.73	5.87	15.34	7.29
P0ADP2	Uncharacterized protein yigI OS=Escherichia coli (strain K12) GN=yigI PE=4 SV=1	yigI	4	139.2	17133.75136	107	231	170	109	127	153	92	134	130	105	91	81	135	111	259	344	274	156	114	98	116	103	3.03E-03	6.58E-03	4.82E-03	3.10E-03	3.61E-03	4.37E-03	2.61E-03	3.82E-03	3.70E-03	2.97E-03	2.59E-03	2.30E-03	3.84E-03	3.15E-03	7.38E-03	9.78E-03	7.79E-03	4.43E-03	3.25E-03	2.80E-03	3.30E-03	2.93E-03	11.87	8.53	23.67	1.80	13.69	1.03	6.37	8.60	9.82	18.81	24.97	28.76	79.64	6.05	11.77	22.23	5.33	12.87	10.82	7.56	1.30	5.99
P0AGI8	Trk system potassium uptake protein trkA OS=Escherichia coli (strain K12) GN=trkA PE=1 SV=1	trkA	4	262.49	50318.37257	42	137	57	51	43	52	44	36	67	67	84	84	38	37	18	65	29	28	30	27	25	32	3.55E-03	1.14E-02	4.78E-03	4.23E-03	3.63E-03	4.32E-03	3.64E-03	3.04E-03	5.62E-03	5.63E-03	6.99E-03	7.05E-03	3.16E-03	3.10E-03	1.47E-03	5.45E-03	2.43E-03	2.32E-03	2.54E-03	2.28E-03	2.13E-03	2.70E-03	40.80	3.84	29.62	20.24	23.78	23.70	26.99	47.56	16.76	26.07	18.13	24.06	13.81	32.80	3.24	66.78	8.09	6.83	30.46	9.01	22.51	8.38
P0A7I0	Peptide chain release factor 1 OS=Escherichia coli (strain K12) GN=prfA PE=1 SV=1	prfA	4	259.39	40474.19405	231	374	244	98	177	149	218	174	140	115	66	80	42	46	96	114	102	63	70	71	80	79	1.55E-02	2.51E-02	1.64E-02	6.58E-03	1.19E-02	9.98E-03	1.47E-02	1.17E-02	9.43E-03	7.72E-03	4.47E-03	5.40E-03	2.81E-03	3.08E-03	6.45E-03	7.68E-03	6.89E-03	4.24E-03	4.67E-03	4.79E-03	5.35E-03	5.32E-03	2.76	4.96	13.55	9.93	23.44	9.12	14.11	9.22	30.56	4.04	19.28	17.07	32.85	4.86	42.04	21.20	10.86	4.21	25.45	11.38	26.01	46.96
P0AAD6	Serine transporter OS=Escherichia coli (strain K12) GN=sdaC PE=1 SV=1	sdaC	4	258.55	46856.86755	66	2738	982	57	70	66	67	34	71	61	52	50	30	39	98	130	84	75	72	68	71	70	5.14E-03	2.13E-01	7.64E-02	4.40E-03	5.45E-03	5.17E-03	5.21E-03	2.61E-03	5.53E-03	4.71E-03	4.08E-03	3.89E-03	2.36E-03	3.01E-03	7.64E-03	1.01E-02	6.54E-03	5.84E-03	5.58E-03	5.32E-03	5.49E-03	5.41E-03	21.93	9.75	16.45	19.08	6.21	6.45	7.88	5.26	8.89	11.55	9.49	1.28	99.55	72.83	27.40	17.42	12.54	17.42	9.85	23.75	17.86	5.31
P0AGB0	Phosphoserine phosphatase OS=Escherichia coli (strain K12) GN=serB PE=1 SV=1	serB	4	201.01	35002.29891	188	225	238	45	78	117	120	91	86	79	68	41	49	50	119	63	108	141	102	70	86	144	1.09E-02	1.31E-02	1.38E-02	2.64E-03	4.55E-03	6.79E-03	6.99E-03	5.27E-03	5.02E-03	4.58E-03	3.98E-03	2.40E-03	2.82E-03	2.88E-03	6.89E-03	3.66E-03	6.26E-03	8.21E-03	5.95E-03	4.04E-03	5.00E-03	8.38E-03	7.29	3.81	14.89	17.12	27.11	5.41	4.88	11.40	14.77	12.01	22.83	27.38	12.07	7.33	10.13	37.28	13.45	11.50	4.77	25.89	24.74	9.35
P0AE82	Sensor protein CpxA OS=Escherichia coli (strain K12) GN=cpxA PE=1 SV=1	cpxA	4	235.68	51573.93701	45	50	41	40	49	37	47	67	48	47	44	57	20	33	31	63	36	43	67	47	53	69	3.86E-03	4.30E-03	3.50E-03	3.41E-03	4.20E-03	3.16E-03	4.06E-03	5.73E-03	4.08E-03	4.06E-03	3.75E-03	4.88E-03	1.68E-03	2.82E-03	2.66E-03	5.41E-03	3.06E-03	3.70E-03	5.71E-03	4.03E-03	4.51E-03	5.89E-03	24.48	0.45	26.77	9.95	15.92	3.37	5.04	15.14	6.62	2.30	10.47	12.95	21.26	9.75	28.09	7.10	7.12	46.28	10.55	5.42	20.96	14.86
