Gene	ExpAgeP-value	ExpAgeDirection	MethAgeP-value	MethAgeDirection	ExpMethP-value	ExpMethDirection	TopMediator	Z-score	MedP-value	NoCpGsTested	NoBonferroniSig
ANKRD22	1,2E-07	-++++-+	5,5E-49	-------	7,2E-17	-------	cg26478401	7,3	2,0E-13	81	9
RPL5	1,9E-11	-----?-	2,8E-22	-----?-	9,5E-05	+-+++?-	cg04982834	-3,6	1,5E-04	50	1
RBM17	7,3E-12	+------	3,5E-06	+----+-	8,7E-34	-++++++	cg27545615	-4,3	7,5E-06	121	4
SH3YL1	1,2E-04	--+----	1,7E-10	+++++++	5,6E-53	-------	cg13354988	-5,9	1,8E-09	166	6
CD58	4,3E-03	+++++?+	1,9E-64	-----?-	1,6E-18	-----?-	cg17215278	7,8	3,2E-15	99	8
RASGRP2	6,4E-10	+------	1,5E-40	-------	3,6E-38	+++++++	cg11321083	-9,3	8,7E-21	291	14
SRM	2,0E-09	+----?-	3,0E-05	+++++?+	4,0E-07	-+---?-	cg18232497	-3,2	6,3E-04	131	0
FAM50B	1,1E-08	------+	1,7E-81	-------	3,5E-04	+++++++	cg09911316	-3,5	2,2E-04	106	2
CCDC50	5,9E-12	------+	1,3E-03	-++++++	4,9E-07	+------	cg14972328	-2,7	3,4E-03	26	0
TCEA3	1,4E-04	+----?-	1,0E-36	+++++?+	1,8E-134	-----?-	cg13977835	-11,3	1,0E-29	158	41
AGPAT4-IT1	4,6E-09	-++++++	2,6E-24	-------	1,1E-07	--+----	cg11342331	4,7	1,3E-06	66	4
CYP2J2	4,6E-06	---+-?-	1,3E-20	+----?-	1,2E-06	+++++?+	cg10220544	-4,3	8,3E-06	35	3
FAM153B	3,2E-15	----?--	5,5E-10	--+-?--	1,2E-17	++++?++	cg00635082	-5,0	2,6E-07	59	13
RNASE2	5,1E-08	-++++++	3,2E-08	-------	1,8E-21	------+	cg18368116	4,8	8,7E-07	122	2
AKTIP	2,6E-17	-------	6,0E-26	+------	4,7E-09	+++++++	cg26746331	-5,1	1,5E-07	55	4
ALG8	1,5E-08	-----++	1,1E-24	-------	4,3E-17	++++++-	cg07780377	-6,5	4,0E-11	91	3
NREP	3,6E-10	-------	2,0E-20	--+----	1,0E-04	-++++++	cg12469755	-3,6	1,7E-04	75	1
NCL	7,8E-10	-------	2,2E-29	+------	6,9E-24	+++++++	cg09604569	-7,5	3,0E-14	155	16
RPUSD2	1,3E-12	-------	9,3E-56	-------	3,5E-34	+++++++	cg26767214	-9,6	2,8E-22	199	10
HLA-DOB	1,9E-10	-----+-	1,1E-49	-------	7,9E-16	+++++++	cg02633767	-7,1	7,4E-13	487	20
TPST1	4,2E-07	-+++++-	3,2E-37	-------	1,1E-11	-+-+---	cg03193328	6,0	1,0E-09	95	4
TIGIT	7,0E-08	+++++++	2,8E-55	--+----	8,1E-44	-------	cg22870429	10,4	1,4E-25	74	19
CERS6	7,8E-08	+--?---	4,1E-29	---?---	3,0E-09	+++?+++	cg03331300	-5,2	7,9E-08	66	5
GTPBP4	5,3E-07	-------	4,6E-16	-------	6,3E-15	-++++++	cg09361094	-5,6	9,3E-09	227	4
NPAT	4,7E-01	-+-----	6,8E-25	+++++++	5,0E-06	-------	cg03092399	-4,2	1,5E-05	89	1
RAP1GAP2	6,4E-04	+++-+-+	5,2E-25	-------	8,9E-17	-------	cg01245268	6,5	4,6E-11	152	11
RPLP0	6,3E-11	-------	6,2E-28	-------	1,5E-12	+++++++	cg27168573	-5,9	1,4E-09	167	5
CD163	4,2E-05	-+??+++	8,3E-34	+-??---	6,9E-04	--??---	cg03621974	3,3	5,5E-04	44	1
MRPL45	1,5E-05	-------	1,4E-37	-------	1,1E-28	-++++++	cg12361262	-8,4	2,4E-17	102	4
HADH	5,1E-14	-------	8,5E-66	+++++++	2,5E-18	-------	cg01150799	-7,8	3,6E-15	72	11
C3AR1	3,7E-07	-++++++	1,9E-11	-------	1,1E-09	-------	cg23590660	4,5	3,2E-06	73	3
SRPK1	2,4E-01	-++-+--	4,0E-37	-------	7,2E-32	------+	cg14284211	8,6	3,0E-18	118	12
LHFPL2	9,2E-14	-++++++	6,5E-29	-------	3,0E-12	++-----	cg14114546	5,9	1,6E-09	99	10
EIF4G3	4,5E-05	-++++?-	2,3E-15	+++++?+	8,1E-12	+++++?+	cg14519150	5,2	1,1E-07	150	9
HMGN1	5,0E-15	-------	2,5E-18	-------	1,2E-26	+++++++	cg24341911	-6,8	6,9E-12	67	3
CSTF3	1,3E-11	---?---	7,8E-14	---?---	2,2E-24	-++?++-	cg04225088	-6,0	8,3E-10	103	6
CDKN1C	6,6E-09	++-++++	2,4E-27	-------	2,0E-09	-------	cg14637411	5,2	7,9E-08	354	3
SLAMF6	3,4E-03	++-+-++	3,2E-30	--+----	7,1E-60	-------	cg24688563	9,4	4,1E-21	114	17
MS4A6A	1,1E-07	-++++-+	6,5E-39	-------	2,3E-21	-------	cg06881914	7,7	8,3E-15	48	8
RALA	7,0E-10	-------	6,5E-15	-------	1,2E-11	+-+++++	cg13800005	-5,1	1,6E-07	85	1
ZNF529	1,7E-13	-------	1,2E-60	+++++++	6,5E-02	---+--+	cg22517995	-1,8	3,3E-02	132	0
ACVR2A	1,5E-08	+++?++-	3,2E-15	+++?++-	1,6E-01	-++?++-	cg14420245	1,4	8,5E-02	40	0
WIPI1	6,6E-08	++++--+	4,1E-26	-------	6,0E-21	-------	cg25161129	7,0	1,1E-12	88	7
NBEAL2	7,3E-08	+++++++	2,3E-50	-------	1,7E-49	-------	cg07220903	10,5	4,1E-26	151	10
ZNF22	1,3E-07	-------	8,5E-07	-----+-	3,6E-16	+++++++	cg15601807	-4,2	1,3E-05	91	2
RALGDS	3,8E-08	++-++-+	1,7E-27	-------	8,9E-96	-------	cg20017995	9,6	3,0E-22	125	26
UPP1	3,4E-08	-++++++	1,7E-65	-------	9,5E-09	+-----+	cg11494773	5,4	2,7E-08	63	2
GAR1	1,2E-12	+------	2,0E-15	-----+-	7,9E-12	++++++-	cg00382138	-5,2	1,1E-07	55	1
ADPRM	3,7E-08	-------	8,5E-29	-------	6,6E-07	+++++++	cg01303008	-4,5	2,8E-06	71	8
DDX55	1,1E-11	-------	1,0E-14	+----+-	3,1E-33	+-+++++	cg23825057	-6,5	4,0E-11	126	6
BMS1	6,6E-09	-------	2,2E-09	+++++-+	1,3E-20	++-----	cg13519194	-5,0	2,4E-07	66	3
TMEM66	5,1E-11	+------	5,2E-20	+++++++	1,3E-25	-------	cg18813599	-6,9	2,8E-12	58	4
APMAP	2,5E-05	+++-+-+	9,1E-16	+------	1,7E-42	------+	cg20661985	6,9	2,1E-12	83	6
ALOX5AP	7,2E-07	-++++++	3,1E-33	-------	8,9E-23	------+	cg26756921	7,6	1,4E-14	72	3
SERPINB8	1,1E-07	+++++++	3,7E-15	-------	1,3E-17	+------	cg20875821	5,8	3,6E-09	36	5
METTL1	2,5E-04	-------	7,9E-28	-------	6,2E-06	++++++-	cg17332198	-4,2	1,5E-05	305	4
ANTXR2	1,3E-04	+++-+++	1,5E-28	+------	1,2E-32	-------	cg04858148	8,1	2,5E-16	101	2
GDPD5	3,0E-07	++++++-	1,2E-27	-------	1,5E-25	-------	cg20248163	7,5	2,3E-14	165	17
ZNF30	2,5E-08	-------	4,7E-23	+----+-	5,8E-26	+++-+++	cg17540545	-7,2	2,8E-13	157	6
LTV1	8,8E-08	-------	1,5E-37	-------	3,2E-10	-++++++	cg26261298	-5,6	8,4E-09	113	7
LYPD2	7,0E-07	++-++++	3,5E-23	+++++++	1,9E-19	+++++++	cg03405983	6,7	1,2E-11	192	4
NA	8,2E-05	????+??	1,2E-29	????-??	1,0E-11	????-??	NA	5,8	2,7E-09	165	5
GAMT	9,4E-08	+----+-	8,7E-33	-------	6,3E-26	+++++++	cg18437039	-7,9	1,5E-15	504	23
VSIG4	6,6E-03	+?+++++	6,8E-05	-?---++	3,1E-04	-?--+--	cg04625493	2,7	3,8E-03	19	0
GABARAPL1	2,3E-14	-++++++	3,0E-15	-------	1,5E-26	------+	cg21250433	6,3	1,1E-10	63	7
NUP107	1,6E-04	------+	2,6E-28	-------	3,5E-20	+++++++	cg02266731	-7,1	7,9E-13	67	5
CCT3	1,6E-05	-----?-	5,2E-31	-----?-	4,5E-15	+++++?+	cg23729443	-6,5	4,2E-11	284	20
CDK4	1,3E-06	------+	1,7E-29	-------	5,2E-25	+++++++	cg17332198	-7,6	1,3E-14	306	15
TMEM99	1,3E-10	-------	5,5E-20	-------	8,5E-41	+-+++++	cg04940329	-7,6	2,1E-14	122	5
FCRLA	1,0E-16	-----?+	3,2E-10	-++++?+	3,3E-75	-----?-	cg11193201	-6,0	1,4E-09	71	3
TCEA2	2,0E-06	-------	1,5E-157	-------	6,8E-13	++++++-	cg00636737	-6,9	2,0E-12	257	19
NA	1,1E-02	????+??	2,6E-27	????-??	6,8E-13	????-??	NA	6,0	1,1E-09	423	12
PHF14	1,6E-07	-------	6,8E-02	-+---++	1,0E-01	++-+-++	cg27103343	-1,2	1,1E-01	34	0
MGC24103	1,7E-03	+++++-+	1,3E-04	-+----+	4,2E-02	+---+--	cg14018454	1,8	3,6E-02	13	0
AARS	1,3E-09	-------	2,9E-13	-++++-+	2,3E-46	++-----	cg07929956	-6,5	4,0E-11	100	5
NARS2	2,6E-03	-----+-	1,7E-24	-------	1,0E-11	-++++++	cg07780377	-5,7	7,4E-09	94	1
RASSF1	2,1E-06	+++++-+	1,7E-74	-------	8,1E-103	-------	cg00390253	13,9	2,2E-44	353	75
ZNF302	9,9E-11	-------	6,0E-06	++-++++	1,1E-02	----+-+	cg07908508	-2,2	1,4E-02	98	0
DNASE1L3	6,8E-06	-------	5,4E-10	+++++++	6,5E-04	+------	cg03479209	-3,0	1,4E-03	106	0
EIF4B	4,1E-07	-------	1,9E-43	+++++++	8,7E-24	-------	cg14110920	-8,1	2,1E-16	214	21
TOP1MT	2,0E-06	-------	2,0E-36	+++++++	2,5E-18	-------	cg03345925	-7,2	3,5E-13	447	29
C6orf108	1,3E-07	+----+-	1,7E-62	-------	1,9E-23	+++++++	cg08558323	-8,6	5,6E-18	237	17
RBM26	8,5E-07	-------	7,9E-29	+------	5,1E-04	--+++++	cg04261072	-3,3	4,5E-04	37	2
SLCO4C1	2,9E-02	++++--+	6,3E-02	------+	1,7E-01	-----+-	cg04589881	1,1	1,4E-01	18	0
SRSF6	3,4E-13	-------	2,1E-09	--+---+	3,2E-03	+++++-+	cg06796271	-2,6	4,1E-03	75	0
SERPINB6	3,0E-08	+++++++	2,5E-15	-------	1,4E-23	-------	cg19042435	6,2	2,7E-10	165	6
ENTPD1	2,4E-07	+++++-+	3,3E-31	-------	7,4E-85	-------	cg13471990	10,0	8,9E-24	99	10
PRDM1	3,5E-08	++-++--	8,3E-41	+++++++	2,2E-22	++++-++	cg08190928	7,9	1,8E-15	91	22
DSC2	2,3E-07	+++++++	6,5E-03	+-+---+	5,0E-01	--+--+-	cg04180953	0,7	2,6E-01	35	0
FOXJ3	1,7E-15	+----?-	3,7E-87	+++++?+	6,2E-07	+--+-?-	cg24681499	-4,8	6,7E-07	97	4
H2AFY2	1,8E-05	+------	1,4E-39	-------	2,2E-13	-++-+++	cg04859918	-6,4	7,4E-11	125	5
E2F2	1,9E-08	-++++?+	3,5E-12	++-++?+	3,3E-02	-++++?-	cg12646386	2,0	2,1E-02	169	0
WRN	1,7E-06	+------	3,0E-30	++++++-	9,1E-02	---+---	cg18101152	-1,7	4,7E-02	53	0
PUS7	2,5E-09	-------	3,4E-19	-------	9,8E-05	-++++++	cg14989988	-3,6	1,8E-04	92	1
C12orf23	7,8E-03	-----++	1,2E-06	+----+-	3,2E-03	-+++++-	cg12053762	-2,5	5,8E-03	65	0
SPON1	1,6E-06	+----+-	1,3E-06	+------	2,2E-02	+-+-+--	cg06645952	-2,1	1,9E-02	76	0
RBL2	1,1E-11	-------	1,3E-26	-------	3,8E-08	+++++++	cg00000029	-4,9	5,1E-07	59	3
EFHD2	2,6E-09	+++++?+	5,0E-36	-----?-	2,2E-72	-----?-	cg25978218	10,3	4,2E-25	121	10
ITFG2	3,4E-12	+-----+	3,2E-38	-------	1,2E-19	-++-+++	cg09890339	-7,4	5,7E-14	139	14
KIAA0355	1,4E-12	----?--	1,0E-42	----?--	4,7E-28	++++?++	cg07843120	-8,6	5,2E-18	95	5
ARHGEF40	1,4E-10	+++++++	2,5E-44	-------	8,7E-26	---+---	cg07525077	8,4	2,4E-17	119	7
GLTSCR2	5,1E-10	-------	1,2E-58	-------	1,1E-41	+++++++	cg23314866	-10,4	1,7E-25	128	5
TP53I3	1,7E-05	-++++++	2,6E-07	-----+-	2,8E-09	+------	cg25800638	3,9	4,9E-05	118	1
ATL3	2,7E-05	+++++++	1,2E-57	-------	1,3E-06	+------	cg15832662	4,6	1,8E-06	147	5
CHCHD10	3,2E-06	+----+-	1,2E-77	+++++++	9,8E-17	-------	cg01912455	-7,6	1,6E-14	107	7
RAP2A	6,0E-04	+++++-+	1,1E-08	+-----+	7,9E-37	-------	cg19283298	5,2	9,4E-08	50	3
LSM2	1,2E-09	-------	5,0E-46	+------	1,6E-20	+-+++++	cg04489104	-7,8	3,7E-15	1478	55
EBAG9	6,9E-11	+------	2,3E-11	-------	3,0E-02	+-++++-	cg02386604	-2,1	1,9E-02	68	0
CTSW	7,9E-04	+++++++	1,5E-60	+++++++	6,5E-91	+++++++	cg21971621	12,7	1,7E-37	319	41
ANG	6,3E-07	-++++++	2,2E-44	-------	4,7E-08	-------	cg07525077	5,1	1,8E-07	144	3
AKR1C3	8,5E-04	-+-++++	3,5E-12	+-+----	5,4E-02	-----++	cg12530994	1,9	3,1E-02	33	0
SLC27A3	6,7E-08	-++++?+	1,0E-60	-----?-	9,8E-21	+----?-	cg08129092	8,1	2,3E-16	259	11
ZCCHC11	2,2E-10	-----?-	5,8E-09	+++++?+	4,9E-06	-----?-	cg05931551	-3,6	1,6E-04	87	2
ADK	3,6E-06	-----+-	6,6E-18	-----+-	4,3E-10	+++++++	cg19034132	-5,1	2,1E-07	109	6
TSEN2	1,6E-08	---?---	1,6E-14	---?---	8,1E-26	+++?+++	cg01526217	-6,2	2,9E-10	78	4
GPX7	5,0E-09	-----?-	2,5E-21	-++++?+	4,4E-11	-----?-	cg16602500	-5,4	3,1E-08	94	3
CCT4	1,3E-05	----+-+	1,5E-112	-------	2,9E-02	-++++++	cg14305711	-2,2	1,5E-02	45	0
NOA1	4,0E-10	+------	2,2E-30	-------	3,2E-10	-+++++-	cg15696506	-5,5	1,8E-08	75	2
ATXN1	6,0E-03	+-+-+++	6,2E-56	-------	6,9E-25	-------	cg00464814	8,6	3,3E-18	103	8
NOP58	2,0E-05	-------	1,7E-04	+++++-+	2,8E-03	-+-----	cg18069144	-2,3	9,5E-03	89	0
UBR2	4,1E-09	-++++++	1,2E-36	-----+-	2,1E-26	-------	cg20732076	8,1	2,0E-16	127	11
SREBF1	5,0E-06	+------	2,9E-20	++-++++	3,5E-22	-------	cg08129017	-6,7	1,2E-11	203	5
EIF4A2	6,2E-15	-------	6,8E-22	+++++++	2,1E-19	-------	cg25599673	-6,6	2,5E-11	111	3
EIF2A	1,1E-07	-------	1,1E-24	+++++++	1,7E-12	------+	cg07578772	-5,8	3,0E-09	89	3
PALLD	6,6E-03	+++++++	4,5E-65	-------	5,5E-10	----+--	cg00020991	5,8	2,8E-09	101	10
MFNG	2,2E-09	+------	1,6E-41	-------	2,6E-28	+++++++	cg21268578	-8,5	6,6E-18	157	10
NPC2	4,1E-07	+++++++	3,8E-09	+------	8,3E-17	-------	cg08140459	4,8	7,6E-07	141	1
TNF	8,5E-07	+++++++	6,5E-93	-------	1,3E-22	+------	cg21222743	8,8	5,3E-19	1054	28
SLFN13	2,1E-08	-++++++	1,3E-33	+++++++	1,5E-25	+++++++	cg11112161	7,9	1,4E-15	121	9
OGDH	1,5E-07	++-++++	1,2E-69	-------	7,9E-12	-------	cg18442362	6,4	9,0E-11	134	1
TMEM156	2,0E-05	-------	2,8E-08	-----+-	3,9E-12	+++-+++	cg04747180	-4,3	7,2E-06	62	2
APBA2	4,4E-05	----+--	9,5E-12	+++++++	1,3E-23	-------	cg21917349	-5,6	8,8E-09	92	9
STX11	7,8E-13	+++++++	2,1E-47	-------	7,1E-15	-------	cg09307468	6,9	3,6E-12	113	10
RAB11FIP5	1,1E-11	-++++++	3,8E-61	++-++++	4,1E-72	+++++++	cg07279070	12,2	2,9E-34	198	47
CTSL1	3,1E-05	++-++++	1,7E-01	++--++-	4,6E-02	--+++++	cg08719486	1,1	1,3E-01	43	0
SERBP1	5,6E-07	---?-?-	3,9E-17	---?-?-	5,0E-09	+++?+?+	cg01356829	-4,8	7,9E-07	38	2
ZBTB25	1,3E-07	-------	3,0E-13	++-++++	1,8E-05	+------	cg24733475	-3,7	1,1E-04	148	1
MAML2	2,5E-04	-------	9,5E-52	+++++++	2,7E-05	+------	cg18919209	-4,1	2,6E-05	105	1
AHCY	3,8E-07	+--+--+	5,1E-07	-+---+-	8,9E-10	-+++++-	cg02138331	-3,9	5,1E-05	76	2
MGST3	6,9E-05	++-++?-	1,9E-21	+++++?-	1,5E-06	-++++?+	cg22675486	4,3	8,8E-06	62	5
RGCC	3,0E-08	+----+-	6,3E-39	+++++++	5,0E-61	-------	cg12421110	-10,2	7,2E-25	53	6
C19orf59	3,9E-08	+++++++	8,1E-33	-------	4,6E-21	-------	cg24759919	7,4	7,2E-14	307	11
RRP15	9,7E-04	+----?-	3,2E-50	-----?-	1,3E-05	+++++?+	cg19631762	-4,2	1,4E-05	61	1
ANKRD13A	2,6E-06	+++++++	2,6E-29	-------	3,3E-13	------+	cg09570214	6,1	5,0E-10	140	6
RPSAP58	4,4E-03	-?--?--	3,1E-01	-?-+?-+	1,2E-01	-?++?+-	cg03043911	-0,9	2,0E-01	4	0
GALC	5,4E-04	++-++++	3,8E-55	-------	4,3E-05	-----++	cg24058132	4,0	3,7E-05	43	2
NUP160	5,4E-13	-------	3,1E-71	-------	1,1E-22	+++++++	cg11468953	-8,6	4,2E-18	134	12
TSPAN3	3,0E-13	-----+-	5,5E-102	-------	3,6E-35	+++++++	cg21322248	-10,7	4,2E-27	68	9
NDST1	3,0E-08	-+++++-	2,6E-20	+------	8,5E-47	------+	cg15538767	7,8	3,9E-15	194	19
DNMT1	5,7E-15	-------	1,6E-43	+------	6,5E-38	+++++++	cg17271145	-9,4	2,2E-21	290	19
OSBPL10	7,4E-10	-----+-	2,3E-27	-------	1,3E-27	++++++-	cg02570354	-7,7	7,9E-15	70	5
TMTC1	1,2E-05	+++++++	6,2E-16	+++++++	1,8E-14	+++++++	cg25882345	5,6	1,3E-08	50	2
CDC42EP4	7,6E-11	+++++++	2,6E-60	-------	1,4E-09	+--+---	cg09650907	5,7	6,7E-09	117	2
C16orf58	3,8E-08	-------	6,5E-49	-------	1,5E-41	+++++++	cg26233914	-9,9	1,3E-23	147	8
SMARCA1	2,2E-01	-?---?+	1,1E-02	-?+++?-	2,2E-03	-?---?-	cg03460558	-2,0	2,5E-02	49	0
MS4A4A	6,9E-05	+-+++++	7,4E-13	-------	1,2E-04	------+	cg04353769	3,4	3,6E-04	64	2
SLC38A11	1,0E-01	+---?+-	1,7E-13	----?--	5,2E-03	-+++?++	cg03180819	-2,6	4,5E-03	27	0
PARP8	2,3E-06	-++++-+	8,9E-76	+++++++	3,5E-06	+++++++	cg03847373	4,5	3,4E-06	37	2
RPS2	7,3E-06	+------	4,4E-29	-------	2,8E-44	+++++++	cg00905101	-8,7	1,2E-18	465	14
KDM1A	3,4E-04	-----?-	1,4E-15	-----?-	1,5E-19	+++++?-	cg25199552	-6,0	1,1E-09	77	4
ADAP2	7,6E-07	+++++++	7,1E-34	+------	1,6E-07	+------	cg05388545	4,8	7,5E-07	85	3
TRAFD1	1,0E-05	++?++++	2,8E-08	+-?----	6,5E-20	--?+---	cg17301248	4,7	1,0E-06	81	2
NPC1	2,4E-02	-+-+--+	5,0E-31	+++++++	3,5E-26	+++++++	cg06914048	7,8	2,8E-15	58	4
RPL13P5	1,9E-03	-----+-	3,2E-50	-------	3,1E-27	+++++++	cg09080114	-8,8	1,1E-18	326	19
MSC	1,0E-04	++++?++	7,8E-21	++++?++	5,6E-57	++++?++	cg06700209	8,1	3,5E-16	52	16
HK3	3,0E-09	+++++++	1,2E-28	-------	2,6E-20	---+---	cg17919667	7,1	6,2E-13	181	5
CRISPLD2	3,5E-06	-++++++	3,4E-45	+++++++	1,1E-44	-++-+++	cg15286847	10,0	1,3E-23	200	16
SHMT2	4,8E-10	-------	1,5E-18	+++++-+	2,3E-81	+------	cg08163918	-8,0	7,1E-16	273	16
SERPINF1	1,3E-02	+----?+	8,9E-37	-----?-	4,1E-03	--+++?-	cg15380836	-2,8	2,5E-03	280	0
LILRB1	8,6E-05	+++++++	2,6E-16	--+----	2,4E-09	-------	cg05365532	4,8	7,1E-07	94	2
HNRPDL	9,0E-08	-------	3,2E-31	-------	6,0E-10	+++++++	cg13873733	-5,5	2,3E-08	64	1
NOC3L	1,1E-05	-------	4,3E-09	+------	7,6E-14	+++++++	cg10751070	-4,6	1,9E-06	54	1
WDR59	2,0E-07	+------	1,2E-10	-----+-	5,0E-25	-++++++	cg05820066	-5,5	2,3E-08	121	2
C10orf35	3,4E-06	----++-	1,1E-18	++-++++	4,0E-06	-------	cg18382422	-4,1	2,2E-05	101	5
TIPARP	1,5E-05	+++++++	1,4E-40	------+	5,0E-05	-------	cg18241337	3,9	5,2E-05	68	2
CMTM8	9,9E-04	+--?-++	9,1E-13	+--?---	1,1E-06	+++?+-+	cg05662500	-4,0	2,8E-05	80	3
NOL8	4,1E-07	-------	1,9E-03	-+-----	1,5E-01	++++-++	cg24105685	-1,3	9,8E-02	31	0
LINGO2	1,1E-02	-+++-?+	3,6E-02	-----?-	6,0E-01	+++--?-	cg14003886	0,5	3,0E-01	3	0
TIMM21	4,0E-10	-------	7,6E-04	-+---+-	3,1E-02	-++-++-	cg24167378	-1,8	3,5E-02	29	0
C5orf51	7,5E-07	-----+-	3,2E-06	------+	1,2E-01	++++-++	cg10654803	-1,5	7,1E-02	40	0
CYBASC3	2,2E-11	------+	2,6E-16	+++++-+	1,5E-138	-------	cg03324175	-7,8	3,5E-15	188	17
ZDHHC9	9,3E-03	-?--++-	8,9E-08	+?-----	1,1E-05	-?++++-	cg06055803	-3,4	3,5E-04	131	1
TCF3	2,9E-08	-------	6,5E-33	-------	1,1E-14	+++++++	cg18437039	-6,5	4,4E-11	485	15
SERTAD2	4,6E-13	-------	1,0E-126	-------	2,1E-10	+++++++	cg22737154	-6,1	4,1E-10	110	11
CD3D	1,6E-06	---?---	1,8E-25	---?---	6,8E-31	+++?+++	cg14242895	-7,7	4,9E-15	169	24
GIMAP7	2,3E-07	-------	2,7E-44	+++++++	7,8E-46	+------	cg12644845	-10,0	1,1E-23	159	13
NOLC1	2,5E-04	-------	3,2E-29	+------	1,3E-06	-++-+++	cg00431050	-4,5	4,3E-06	163	1
C22orf29	1,0E-05	+------	2,6E-17	-----+-	1,4E-13	+++++++	cg00390484	-5,6	1,3E-08	174	5
EIF3G	3,6E-04	+------	1,0E-73	-------	1,4E-14	-++++++	cg27259408	-7,1	6,8E-13	230	11
MRPS27	1,6E-08	-------	8,7E-44	-------	8,3E-28	-++++++	cg25769469	-8,6	4,5E-18	89	4
GBP1	1,7E-07	+++++?+	1,6E-35	-----?-	1,2E-05	-+---?+	cg24400630	4,1	1,8E-05	38	1
DIMT1	3,2E-11	-------	1,1E-18	-------	1,2E-13	+++++++	cg24864203	-5,7	6,8E-09	45	4
TYSND1	2,7E-08	-------	5,4E-40	-------	1,5E-21	+-+++++	cg04859918	-7,7	5,1E-15	118	4
SFTPD	4,8E-04	++-++++	2,2E-05	-++++++	6,8E-02	++-++++	cg11900509	1,7	4,7E-02	55	0
PITPNC1	1,5E-04	+-----+	3,6E-11	-----+-	7,4E-15	-++++++	cg15015109	-5,0	2,3E-07	93	4
TNFRSF21	4,6E-05	-------	3,2E-14	-------	1,5E-02	-++-++-	cg22774605	-2,3	1,0E-02	49	0
ZNF101	3,0E-05	----+--	3,2E-17	++-++++	7,8E-04	+------	cg17935297	-3,1	8,9E-04	176	0
ANAPC1	2,3E-06	-------	1,4E-26	-------	2,5E-38	+++++++	cg23262488	-8,2	9,2E-17	48	5
ZNF480	2,8E-03	+--?-+-	1,3E-09	+++?++-	9,5E-02	---?+++	cg27258025	-1,6	5,4E-02	124	0
IFNG	2,8E-01	+--++++	1,3E-13	-------	4,8E-58	-------	cg01940810	6,7	8,8E-12	47	6
BRIX1	1,8E-10	-------	7,6E-36	+------	1,4E-06	++-+++-	cg22546151	-4,5	3,5E-06	79	1
SYNE2	1,8E-04	++-++++	8,9E-32	++-++++	1,9E-21	+++++++	cg23039471	7,4	7,4E-14	108	16
FAM46A	5,7E-06	-++++++	1,6E-17	-------	5,4E-12	++-----	cg04346283	5,4	4,2E-08	28	2
RCL1	7,1E-08	--?----	9,1E-05	+-?--+-	2,1E-02	-+?-++-	cg20394284	-2,0	2,4E-02	42	0
SLAIN1	7,5E-03	+--?-++	1,0E-12	---?---	7,8E-04	+++?++-	cg13866767	-3,0	1,2E-03	82	0
RABGGTB	1,4E-08	-----?-	1,1E-03	++-+-?+	9,1E-04	-++++?+	cg03887502	-2,3	1,0E-02	50	0
FAR2	9,8E-07	+++?+++	2,6E-20	---?---	3,9E-46	---?---	cg05697976	7,8	4,6E-15	45	3
ACTA2	8,6E-07	+++++++	1,5E-50	-------	1,4E-41	-------	cg26478401	10,0	6,0E-24	81	8
TMEM8B	6,8E-08	---?---	2,6E-77	+++?+++	2,9E-12	---?---	cg13728834	-6,5	3,1E-11	105	1
WDR67	3,7E-07	-------	4,9E-36	-------	2,9E-24	-++-+++	cg12002745	-7,9	1,5E-15	119	7
PRKCA	4,3E-05	+---++-	2,8E-44	-------	4,4E-25	+++++++	cg23378941	-8,3	4,7E-17	126	32
ESYT1	8,0E-08	+------	5,8E-33	-------	4,3E-42	-++-+++	cg09106999	-9,0	1,4E-19	302	24
ZNF329	1,2E-10	-----+-	4,5E-34	++++++-	2,8E-12	------+	cg22299467	-6,1	6,9E-10	239	6
SMARCD3	2,2E-12	+++++++	4,6E-46	+------	3,5E-13	-------	cg01106572	6,5	4,7E-11	394	14
DKFZP586I1420	3,6E-05	++++++-	2,8E-22	--+----	5,6E-08	-------	cg02501746	4,7	1,1E-06	90	3
HMOX1	5,0E-12	+++++++	2,0E-50	+++++++	3,1E-11	+++++++	cg20571453	6,1	6,4E-10	69	2
ZZZ3	6,2E-07	-----?-	8,3E-13	-----?-	5,9E-09	+++++?+	cg27230067	-4,5	3,2E-06	56	1
ARMCX2	3,6E-05	-?-?---	8,1E-12	-?-?---	1,4E-03	+?+?+++	cg21786852	-2,9	1,9E-03	71	0
PCNX	4,3E-05	+++-++-	3,4E-14	+++++++	1,0E-23	+++-+++	cg05859308	6,1	7,2E-10	69	5
TRMT112	2,3E-05	-----+-	1,1E-32	-------	9,8E-16	+++++++	cg15009090	-6,7	1,4E-11	336	10
DDX18	1,6E-07	+------	9,5E-12	-------	1,6E-61	+++++++	cg24475517	-6,3	1,5E-10	40	2
NRG1	2,3E-04	-++++++	9,3E-03	--+----	4,3E-08	+----+-	cg27133711	2,4	9,5E-03	59	0
YTHDC1	1,6E-08	+------	1,4E-12	--+----	4,4E-02	--+++-+	cg24701966	-1,9	2,6E-02	49	0
SDCCAG3	1,5E-14	-------	1,4E-44	-------	1,0E-36	+++++++	cg21252105	-9,4	3,0E-21	255	18
CYB561	1,2E-13	+++++++	9,5E-28	-------	1,9E-20	-------	cg11937797	7,1	8,1E-13	108	13
